target_id	length	eff_length	est_counts	tpm
rnd-1_family-443#LINE/RTE-BovB	165	32.5058	230.504	1213.02
rnd-1_family-197#LINE/CR1	2655	2479.98	4377.99	301.979
rnd-1_family-66#LINE/RTE-BovB	793	618.136	1715.29	474.685
rnd-1_family-308#DNA/CMC-EnSpm	159	29.0588	492.716	2900.48
rnd-1_family-170#LINE/CR1	460	286.72	934.919	557.784
rnd-1_family-217#Unknown	716	541.136	1104	348.991
rnd-1_family-244#Unknown	115	12.2376	282.629	3950.66
rnd-1_family-262#Unknown	109	11.6299	23.1785	340.927
rnd-1_family-188#LINE/RTE-BovB	157	27.9206	381.257	2335.84
rnd-1_family-406#LINE/CR1-Zenon	199	55.1181	455.555	1413.83
rnd-1_family-89#LINE/CR1	1287	1111.98	208.599	32.0896
rnd-1_family-5#LTR/Pao	2316	2140.98	2553.82	204.046
rnd-1_family-404#Unknown	495	321.385	769.403	409.524
rnd-1_family-291#LINE/RTE-BovB	728	553.136	206.104	63.739
rnd-1_family-105#LTR/Pao	2505	2329.98	1782.18	130.843
rnd-1_family-171#Unknown	211	63.9474	0.000945539	0.00252934
rnd-1_family-325#Unknown	228	76.2329	160.028	359.091
rnd-1_family-86#LINE/CR1	1953	1777.98	397.579	38.2514
rnd-1_family-240#LINE/CR1	292	128.828	3.08311	4.09383
rnd-1_family-278#LINE/CR1	1154	978.982	51.7072	9.03497
rnd-1_family-270#LINE/Penelope	596	421.517	315.715	128.124
rnd-1_family-254#Unknown	218	68.9699	133.483	331.068
rnd-1_family-121#Unknown	69	28.75	1777.79	10577.7
rnd-1_family-180#Unknown	73	29.65	577.465	3331.59
rnd-1_family-288#LTR/Gypsy	1018	842.982	205.972	41.7965
rnd-1_family-250#Unknown	154	26.4518	534.781	3458.36
rnd-1_family-409#Unknown	134	16.956	130.529	1316.85
rnd-1_family-292#Unknown	124	14.0859	308.736	3749.33
rnd-1_family-213#Unknown	98	16.2601	124.837	1313.32
rnd-1_family-426#Unknown	98	16.2601	357.736	3763.48
rnd-1_family-73#Unknown	1158	982.982	2065.83	359.501
rnd-1_family-414#Unknown	66	27.2941	563.517	3531.74
rnd-1_family-293#LTR/Copia	522	347.814	562.686	276.739
rnd-1_family-448#Unknown	521	346.814	0	0
rnd-1_family-220#Unknown	1327	1151.98	1740.62	258.47
rnd-1_family-94#LINE/Penelope	720	545.136	858.005	269.238
rnd-1_family-350#LINE/Rex-Babar	833	658.136	534.76	138.993
